:TYPE,START_ID,END_ID,RELATION_DESC
研究,591059d255b542257a025211,5860ce3cbf6928795d4a214e,《万历十五年》（1587  a Year of No Significance: The Ming Dynasty in Decline）是历史学家黄仁宇最负盛名、也是体现其“大历史观”的一部明史研究专著。其著作主旨在书中末段看出：“当一个人口众多的国家，各人行动全凭儒家简单粗浅而又无法固定的原则所限制，而法律又缺乏创造性，则其社会发展的程度，必然受到限制。即便是宗旨善良，也不能补助技术之不及。”
年号,591059d255b542257a025211,591adc0c55b5427dfa020842,一般史家认为的明朝灭亡之起点，如万历十年（1582年）张居正去世，万历二十年（1592年）援朝鲜之战，万历三十一年间的“妖书案”，接下来万历四十三年（1615年）起的“三大案”（梃击案、红丸案、移宫案），万历四十七年（1619年）的萨尔浒之败等。与这些年份相比，万历十五年（1587年）虽然有海瑞、戚继光的去世，但终究只是无足轻重的一年，也即如其英文版的书名：无关紧要的1587年（1587  a Year of No Significance）。
出现,591adc0c55b5427dfa020842,59241b2655b54278ac0068ae,万历中兴指的是明朝万历帝时出现的短暂中兴局面。其中兴之势主要归功于张居正在朝政上的治绩。政治上推行新政，任用贤官；经济上实行“一条鞭法”，丈量全国土地，加强中央对粮食的宏观控制，还派遣潘季驯治理黄河；军事上革除军备废弛的种种弊端，加强军队训练，整顿海防。
包括,5860ce3cbf6928795d4a214e,5924128955b54278ac0000c7,清朝乾隆初年，刊行《明史》，加先前各史，总名“二十二史”。后来又增加了《旧唐书》，成为“二十三史”。从《永乐大典》中辑录出来的《旧五代史》也被列入。乾隆四年（1739年），经乾隆帝钦定，合称“二十四史”。并刊“武英殿本”。
记载,5860ce3cbf6928795d4a214e,59241e4955b54278ac009039,对于三大征的消耗，《明史》载：“宁夏用兵，费帑金二百余万。其冬，朝鲜用兵，首尾八年，费帑金七百余万。二十七年，播州用兵，又费帑金二三百万。三大征踵接，国用大匮”。又卷百二十三《王德完传》：“近岁宁夏用兵，费百八十余万；朝鲜之役，七百八十余万；播州之役，二百余万”。据此可以粗略统计出这八年间国家的军事开支高达一千一百六十余万两白银。
重大战役,59241e4955b54278ac009039,59244e8355b54278ac02b586,明神宗虽不上朝，但并不是不理政。“万历三大征”的胜利就是在不上朝的时期取得的。明神宗万历二十年至廿八年（公元1592－1600年）间，先后在中国西北、东北、西南边疆接连展开三次大规模军事行动。三役分别为平定蒙古人哱拜叛乱的宁夏之役、平定日本丰臣秀吉入侵朝鲜的朝鲜之役，以及平定贵州土司杨应龙叛乱的播州之役。明朝三战皆胜，史称“万历三大征”。
重大事件,59241e4955b54278ac009039,57c93da50bd1bee11a8b456f,万历三大征是明神宗万历二十年至二十年（1592－1600年）间，先后在中国西北、东北、西南边疆接连展开的三次大规模军事行动；三役分别为平定蒙古人哱拜叛乱的宁夏之役、平定日本丰臣秀吉入侵朝鲜的朝鲜之役，以及平定贵州土司杨应龙叛乱的播州之役。明朝三战皆胜，但国力亦损耗巨大。
属于,591adc0c55b5427dfa020842,57c93da50bd1bee11a8b456f,明朝是中国瓷器发展史上的一个重要阶段，特别是景德镇青花瓷和其他彩釉瓷的生产规模，工艺水平都达到了一个新的巅峰。明朝瓷器上的款识在种类、工艺、字体等方面也随之更趋完善，并开始流行在瓷器上题写帝王年号即官窑纪年款。民窑产品书写纪年款的也有，但字体较为草率，不及官窑规整。明朝享国276年，共传16帝，有帝王年号17个，但由于政治原因，洪武、建文、洪熙、正统、景泰、天顺、泰昌7个帝王年号的纪年款瓷器至今未曾被发现，故明代纪年款为十个，依次为：永乐、宣德、成化、弘治、正德、嘉靖、隆庆、万历、天启、崇祯。近来据传发现有明景泰、天顺朝官窑款，但未经证实。
中兴局面,57c93da50bd1bee11a8b456f,59241b2655b54278ac0068ae,万历中兴，亦称张居正改革，指的是明朝万历帝时出现的短暂中兴局面。其中兴之势主要归功于张居正在朝政上的治绩。政治上推行新政，任用贤官；经济上实行“一条鞭法”，丈量全国土地，加强中央对粮食的宏观控制，还派遣潘季驯治理黄河；军事上革除军备废弛的种种弊端，加强军队训练，整顿海防。
重大事件,57c93da50bd1bee11a8b456f,59244e8355b54278ac02b586,万历十年（1582年）六月二十日，内阁首辅张居正卒，万历十四年（1586年）后，神宗就开始连续不上朝。李太后年纪渐大，对神宗也实在无力管束。万历十七年（1589年）元旦，神宗以日食为由免去元旦朝贺。万历十七年十二月二十一日，大理寺左评事雒于仁上疏，称神宗沉湎于酒、色、财、气 。阁臣王家屏次日再上一本，自请罢官。最后明神宗竟三十年不上朝，只在万历四十三年（1615年）勉强到金銮殿上亮了一次相，许多朝臣都没见过皇帝一面，导致国力衰退。
属于,59244e8355b54278ac02b586,5924b02255b54278ac066831,矿税之弊，即明神宗（万历帝）在位期间与民争利的赋税措施。明神宗在位期间三十年不上朝的怠政现象，引发了一系列的不良影响，矿税之弊一般认为是怠政的一部分。
引发,59244e8355b54278ac02b586,59244e5255b54278ac02b331,明神宗因立太子之事与内阁争执长达十余年，最后索性三十年不出宫门、不理朝政、不郊、不庙、不朝、不见、不批、不讲，史称“万历怠政”。万历十四年（1586年）后，神宗就开始连续不上朝。李太后年纪渐大，对神宗也实在无力管束。万历十五年（1587年），为了躲避群臣的骚扰，万历帝宣布实行“静摄”，从此不上朝。
影响,59244e8355b54278ac02b586,5924269355b54278ac00fb3f,自从册封郑贵妃为皇贵妃引起群臣几乎一致的反对以来，明神宗对临朝听政十分厌恶。因为国本之争，大臣经常集体上疏，向明神宗施压。为了躲避群臣的骚扰，万历帝宣布实行“静摄”，从此经常不上朝。李太后年纪渐大，对神宗也实在无力管束。万历十四年（1586年）后，神宗就开始连续不上朝。
上疏反对,59244e8355b54278ac02b586,591ac29055b5427dfa017744,由于明神宗不理朝政，缺官现象非常严重。万历三十年（1602年），南北两京共缺尚书三名，侍郎十名；各地缺巡抚三名，布政使、按察使等六十六名，知府二十五名。叶向高曾疏曰：“今六部止有五人，都察院遂至空署。”且“候补科道久者二三年，近亦数月，旅食长安，茫无职事，销向用之心伤，平政之明所宜即行。”
导致,59244e8355b54278ac02b586,59241f0a55b54278ac009b6d,万历时起，朝政日趋腐败，东林党争是万历怠政时期严重败坏朝纲的事件，起因便是内阁缺人，顾宪成极力主张颇有政绩的淮扬巡抚李三才入阁，结果被反对李三才入阁的势力摸黑漫骂，东林党因此而起。东林党兴起后，朝中其它各党便集中火力攻击东林党。
影响,59244e8355b54278ac02b586,59104d1155b542257a012381,万历四十六年（1618年）四月十三日，努尔哈赤以“七大恨”告天，正式与明朝决裂。四月，后金兵克抚顺，朝野震惊，万历帝仍不以为意。方从哲奏请“速下章奏、发帑金。”大臣跪在文华门外，哀求明神宗增派援军，急发军饷，明神宗毫不理会。
影响,59244e8355b54278ac02b586,591049ba55b542257a00d85f,万历四十七年（1619年），辽东总兵杨镐四路进攻后金，在萨尔浒大败，死四万余人，开原、铁岭沦陷，北京震动。这时长期怠政的明神宗曾经有些转变，明神宗任用熊廷弼守辽东，屯兵筑城，才稍稍将东北局势扭转。但萨尔浒之战后辽东陷落，神宗郁郁寡欢，焦劳国事。万历四十八年（1620年），明神宗驾崩于弘德殿，享年58岁，葬于定陵。
影响,59244e8355b54278ac02b586,58413b81bf692850062f56a9,万历十年（1582年）六月二十日，内阁首辅张居正卒，万历十四年（1586年）后，神宗就开始连续不上朝。李太后年纪渐大，对神宗也实在无力管束。明神宗采取非常手段，摆脱张居正、冯保和李太后的影响和控制，之后不久便怠于政事。
上疏批评,59244e8355b54278ac02b586,59242f5155b54278ac01619c,万历十七年（1589年）元旦，神宗以日食为由免去元旦朝贺。万历十七年十二月二十一日，大理寺左评事雒于仁上疏，称神宗沉湎于酒、色、财、气。
间接促成,59244e8355b54278ac02b586,585cf337bf69280728d84b0f,申时行于首辅任上开创“章奏留中”及“经筵取消，改为进呈讲义”；其本意虽为拯救雒于仁并让不听大臣讲学的神宗至少可以自己看点文字，这两个惯例的养成都多少促成了万历怠政，并彻底切断皇帝与大臣们交流的渠道。
属于,59241e4955b54278ac009039,59243e0b55b54278ac01f287,播州之役归属于万历三大征，其他两次大规模军事行动分别为平定蒙古人哱拜叛乱的宁夏之役、平定日本丰臣秀吉入侵朝鲜的朝鲜之役。明朝三战皆胜，但国力亦损耗巨大。
属于,59241e4955b54278ac009039,59243e0955b54278ac01f268,宁夏之役归属于万历三大征，其他两次大规模军事行动分别为以及李化龙平定苗疆土司杨应龙叛变的播州之役、平定日本丰臣秀吉入侵朝鲜的朝鲜之役。明朝三战皆胜，但国力亦损耗巨大。
参与,59241e4955b54278ac009039,582c2ad805c3fbb316030571,万历二十年（1592年），李如松以提督陕西讨逆军务总兵官平定宁夏哱拜之乱。宁夏之役是李如松的成名之战。同年，提督蓟、辽、保定、山东诸军入朝鲜，在平壤之战中大破日军小西行长等部，歼敌近万，又火烧龙山大仓，破坏日军粮食补给，为壬辰抗倭援朝战争的胜利作出极大贡献。
参与,59241e4955b54278ac009039,592414c155b54278ac001db9,万历十九年（1597年），麻贵任备倭总兵参加万历援朝战争救援朝鲜?，抵挡日本入侵。万历二十年（1592年），明朝特调副麻贵驰援，贵率苍头军在攻城同时，阻击套部蒙古，斩获甚多。七月，麻贵等捣毁套部大营，追奔至贺兰山，将其尽逐出塞。麻贵因战功增加官阶，给予荫封。不久提拔为总兵官，镇守延绥。
参与,59241e4955b54278ac009039,591ac2f255b5427dfa017f5b,播州之役时，明朝起用前都御史李化龙兼兵部侍郎，节制川、湖、贵三省兵事，并调刘綎及麻贵、陈璘、董一元等南征。万历二十八年（1600年），征兵大集，二月，在总督李化龙指挥下，明军分兵八路进发，每路约三万人，平定播州。平定播州平定后，明廷取消土司制度，实行改土归流，置遵义、平越二府，分属四川、贵州两省。
